_id,name,lat,lang,simple_acc,fatal_acc,danger_points,zone,danger_index
1,Mukundpur,28.7405,77.1819,16,10,31,chandnichowk,10
2,Outer Ring Road,28.737,77.1689,9,10,24,northeast,7.741935484
3,Azadpur,28.7103,77.1752,10,9,23.5,chandnichowk,7.580645161
4,Bhalswa,28.7573,77.1544,6,9,19.5,northwest,6.290322581
5,Burari Chowk,28.7551,77.1988,15,8,27,northeast,8.709677419
6,Britannia Chowk,28.6832,77.1464,5,8,17,chandnichowk,5.483870968
7,Siraspur,28.7619,77.1391,5,8,17,northwest,5.483870968
8,Shani Mandir,28.8427,77.1246,1,8,13,northwest,4.193548387
9,Delhi Gate,28.6406,77.2418,12,7,22.5,chandnichowk,7.258064516
10,Shahdara Flyover,28.6758,77.2974,6,7,16.5,east,5.322580645
11,Madipur,28.6764,77.1195,15,6,24,west,7.741935484
12,Mukarba Chowk,28.7368,77.1602,12,6,21,northeast,6.774193548
13,Mahipalpur Flyover,28.5456,77.1226,12,6,21,chandnichowk,6.774193548
14,ISBT Kashmere Gate,28.6673,77.2294,9,6,18,chandnichowk,5.806451613
15,Gajipur Road,25.5379,81.0676,8,6,17,east,5.483870968
16,Peeragarhi Chowk,28.6796,77.0961,9,5,16.5,chandnichowk,5.322580645
17,Vikaspuri Flyover,28.6493,77.0854,9,5,16.5,west,5.322580645
18,Punjabi Bagh Chowk,28.6735,77.1403,7,5,14.5,west,4.677419355
19,"Bharati Vidyapeeth University",28.6768,77.1127,6,5,13.5,west,4.35483871
20,Udyog Nagar,28.6816,77.0924,6,5,13.5,northwest,4.35483871
21,Bhairon Mandir,28.5482,77.2565,6,5,13.5,south,4.35483871
22,Nigambodh Ghat,28.6647,77.2369,4,5,11.5,chandnichowk,3.709677419
23,prakash vihar,28.7553,77.106,4,5,11.5,east,3.709677419
24,Sanjay Gandhi Transport Nagar,28.7387,77.15,4,5,11.5,northwest,3.709677419
25,Singhu Border,28.8562,77.125,3,5,10.5,northwest,3.387096774
26,Haiderpur Badli Mor,28.73,77.1492,3,5,10.5,northwest,3.387096774
27,Rohini sector 23 Road,28.7177,77.077,0,5,7.5,northwest,2.419354839
28,Shastri Park,28.6683,77.2503,19,4,25,chandnichowk,8.064516129
29,Khazoori Khas,28.71,77.2604,17,4,23,northeast,7.419354839
30,Majnu Ka Tilla,28.7003,77.2276,14,4,20,northeast,6.451612903
31,Mangolpuri Flyover,28.6984,77.1205,11,4,17,northwest,5.483870968
32,Dharampura,28.6039,77.0003,10,4,16,west,5.161290323
33,Main Ashram Chowk,28.5725,77.2583,9,4,15,south,4.838709677
34,Khanpur,28.5093,77.2309,8,4,14,south,4.516129032
35,Maa Anand Mai Service Station,28.6138,77.3094,7,4,13,south,4.193548387
36,Adarsh Nagar,28.7193,77.1736,7,4,13,chandnichowk,4.193548387
37,Geeta Institute,30.0448,76.8744,7,4,13,northwest,4.193548387
38,Inderlok Metro Station,28.6733,77.17,7,4,13,northwest,4.193548387
39,Paradise Plaza,28.5429,77.1236,7,4,13,west,4.193548387
40,Sarita Vihar,28.528,77.2898,6,4,12,south,3.870967742
41,Kakrola More,28.6197,77.025,6,4,12,west,3.870967742
42,Delhi Noida Direct Flyway,28.5767,77.2869,6,4,12,south,3.870967742
43,Chirag Delhi Flyover,28.5418,77.2289,5,4,11,south,3.548387097
44,Nangli Puna,28.7716,77.1461,5,4,11,west,3.548387097
45,Fun N Food Village,28.5237,77.0837,4,4,10,east,3.225806452
46,Rajdhani Park,28.6823,77.044,4,4,10,northwest,3.225806452
47,Bakoli Bus Stand,28.8115,77.1356,3,4,9,northwest,2.903225806
48,Surya Nagar Red Light,28.6678,77.3219,3,4,9,east,2.903225806
49,Santom Hospital,28.714,77.1384,3,4,9,northwest,2.903225806
50,Kalindi Kunj Rd,28.5561,77.2976,3,4,9,south,2.903225806
51,Murga Mandi Masjid,28.6277,77.331,3,4,9,east,2.903225806
52,Mukarba Chowk,28.7352,77.156,3,4,9,northeast,2.903225806
53,Patparganj,28.62,77.2924,2,4,8,east,2.580645161
54,Tikri Khurd,28.8352,77.1182,2,4,8,northwest,2.580645161
55,Govind Ballabh Pant Hospital,28.6387,77.2347,2,4,8,northeast,2.580645161
56,ICD Tughlakabad,28.5093,77.2822,2,4,8,south,2.580645161
57,Jain Mandir,28.7221,77.1599,1,4,7,chandnichowk,2.258064516
58,Nirankari Colony,28.7165,77.2064,15,3,19.5,chandnichowk,6.290322581
59,Nirankari Colony,28.7165,77.2064,15,3,19.5,chandnichowk,6.290322581
60,Shastri Nagar Metro Station,28.6704,77.1805,14,3,18.5,chandnichowk,5.967741935
61,Jaitpur,28.509,77.3203,12,3,16.5,south,5.322580645
62,Chhatra Marg,28.6938,77.2121,11,3,15.5,northwest,5
63,Wazirabad,28.7336,77.219,10,3,14.5,northwest,4.677419355
64,Tahirpur Red Light,28.6877,77.3206,8,3,12.5,east,4.032258065
65,Nawada Village,28.3893,77.2606,8,3,12.5,west,4.032258065
66,Lajpat Nagar Flyover,28.5654,77.2467,8,3,12.5,new,4.032258065
67,AIIMS,28.5689,77.2133,8,3,12.5,new,4.032258065
68,Uttam Nagar,28.6213,77.0613,8,3,12.5,west,4.032258065
69,Nangloi Water treatment Plant,28.6703,77.051,8,3,12.5,northwest,4.032258065
70,Mayur Vihar Extension,28.5942,77.2947,7,3,11.5,east,3.709677419
